epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,517.086,0.23824,3.23473,0.9395,0.58224,0.65111,0.65729,0.65693,0.16505,1.82921,0.51196,9.51664e-05,9.51664e-05,9.51664e-05
2,1025.41,0.13244,1.76407,0.87286,0.7524,0.85408,0.89779,0.89634,0.15839,1.15873,0.46401,0.00018107,0.00018107,0.00018107
3,1546.05,0.11622,1.18966,0.86187,0.87592,0.95346,0.96034,0.96034,0.11587,0.75072,0.41209,0.000257536,0.000257536,0.000257536
4,2052.69,0.10692,0.89026,0.85824,0.89412,0.9688,0.97324,0.97324,0.11345,0.62193,0.42176,0.000243529,0.000243529,0.000243529
5,2558,0.09622,0.72452,0.85323,0.89245,0.95931,0.97964,0.97964,0.10066,0.5911,0.39814,0.000229372,0.000229372,0.000229372
6,3067.53,0.08887,0.63047,0.85064,0.92196,0.98359,0.98554,0.98554,0.09054,0.43109,0.38428,0.000215215,0.000215215,0.000215215
7,3575.8,0.08606,0.55062,0.85099,0.94643,0.98141,0.99371,0.99199,0.0855,0.38746,0.37391,0.000201058,0.000201058,0.000201058
8,4085.7,0.07862,0.49616,0.84855,0.97388,0.9791,0.99333,0.99282,0.08991,0.3826,0.38619,0.000186901,0.000186901,0.000186901
9,4593.04,0.07453,0.44439,0.8481,0.98,0.97972,0.99328,0.99328,0.09715,0.34008,0.38347,0.000172744,0.000172744,0.000172744
10,5099.27,0.07164,0.41945,0.84875,0.9612,0.98358,0.99179,0.99179,0.07774,0.31601,0.36698,0.000158587,0.000158587,0.000158587
11,5593.63,0.0749,0.51699,0.83835,0.96961,0.97869,0.99426,0.99426,0.08957,0.31763,0.3642,0.00014443,0.00014443,0.00014443
12,6087.58,0.0675,0.41484,0.83476,0.98813,0.97407,0.99472,0.99472,0.08771,0.31718,0.37232,0.000130273,0.000130273,0.000130273
13,6582.76,0.06162,0.36375,0.83255,0.98134,0.96925,0.9948,0.9948,0.07794,0.27535,0.35111,0.000116116,0.000116116,0.000116116
14,7096.39,0.05512,0.32434,0.82955,0.98624,0.98742,0.9944,0.9944,0.07048,0.23926,0.3534,0.000101959,0.000101959,0.000101959
15,7590.83,0.05303,0.29129,0.82656,0.9856,0.98363,0.99371,0.99118,0.09687,0.2652,0.37988,8.7802e-05,8.7802e-05,8.7802e-05
16,8087.74,0.04928,0.26938,0.82704,0.9868,0.99088,0.995,0.995,0.10413,0.29129,0.38812,7.3645e-05,7.3645e-05,7.3645e-05
17,8580.53,0.04451,0.25223,0.83249,0.99047,0.99078,0.995,0.995,0.07297,0.19322,0.34836,5.9488e-05,5.9488e-05,5.9488e-05
18,9074.06,0.04139,0.23374,0.82659,0.9879,0.98911,0.99485,0.99396,0.09437,0.24815,0.38028,4.5331e-05,4.5331e-05,4.5331e-05
19,9566.21,0.03808,0.21793,0.82699,0.98744,0.98911,0.995,0.995,0.08564,0.21788,0.36624,3.1174e-05,3.1174e-05,3.1174e-05
20,10059.3,0.03489,0.20962,0.82851,0.99061,0.98925,0.99485,0.99485,0.09284,0.22658,0.37618,1.7017e-05,1.7017e-05,1.7017e-05
