epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,319.788,0.26779,3.51743,0.95489,0.7045,0.56519,0.69276,0.69276,0.18855,1.79588,0.47851,9.5e-05,9.5e-05,9.5e-05
2,634.726,0.11846,1.58434,0.84445,0.89991,0.90591,0.96644,0.96564,0.18423,0.98085,0.45856,0.00017149,0.00017149,0.00017149
3,951.995,0.11131,0.95727,0.83685,0.91718,0.94839,0.97836,0.97836,0.19948,0.66825,0.46688,0.000229105,0.000229105,0.000229105
4,1261.21,0.09874,0.71531,0.83725,0.96306,0.95608,0.99245,0.99245,0.22615,0.52356,0.46725,0.000201058,0.000201058,0.000201058
5,1565.9,0.08627,0.58779,0.83447,0.96824,0.96369,0.99304,0.99226,0.24825,0.49746,0.47205,0.000172744,0.000172744,0.000172744
6,1869.86,0.07573,0.47938,0.83265,0.98037,0.96226,0.99181,0.98957,0.24192,0.47163,0.48497,0.00014443,0.00014443,0.00014443
7,2172.84,0.06879,0.403,0.82922,0.9757,0.96503,0.99319,0.99319,0.26104,0.46332,0.49277,0.000116116,0.000116116,0.000116116
8,2476.11,0.06094,0.3477,0.83196,0.98039,0.96647,0.99348,0.9927,0.26536,0.44938,0.50381,8.7802e-05,8.7802e-05,8.7802e-05
9,2782.12,0.05468,0.31361,0.82799,0.97973,0.97469,0.99328,0.99249,0.29194,0.40159,0.51032,5.9488e-05,5.9488e-05,5.9488e-05
10,3158.84,0.04692,0.28557,0.82671,0.98263,0.97475,0.995,0.99343,0.31524,0.38788,0.51087,3.1174e-05,3.1174e-05,3.1174e-05
