epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,854.56,0.17589,1.5207,0.87196,0.60953,0.75627,0.81821,0.81821,0.16147,1.34489,0.4131,0.0671154,0.000332168,0.000332168
2,1683.71,0.1692,0.88862,0.86294,0.74829,0.82487,0.91696,0.91347,0.21796,0.9344,0.46707,0.034089,0.000639147,0.000639147
3,2509.28,0.15494,0.68624,0.85445,0.83451,0.95412,0.96805,0.96688,0.19775,0.45992,0.48143,0.00103628,0.000919727,0.000919727
4,3334.14,0.14152,0.5719,0.85456,0.86719,0.92988,0.96925,0.96741,0.20519,0.55599,0.46884,0.0008812,0.0008812,0.0008812
5,4162.02,0.12325,0.49584,0.84971,0.90291,0.91905,0.97244,0.97028,0.12551,0.35486,0.41022,0.0008416,0.0008416,0.0008416
6,4988.78,0.11196,0.44426,0.84652,0.93583,0.94654,0.97165,0.9712,0.13857,0.30281,0.43177,0.000802,0.000802,0.000802
7,5813.65,0.10556,0.36819,0.84778,0.92364,0.98796,0.98874,0.98874,0.17872,0.25162,0.47475,0.0007624,0.0007624,0.0007624
8,6641.01,0.09284,0.35,0.84715,0.91121,0.98465,0.97768,0.97768,0.16731,0.26331,0.45356,0.0007228,0.0007228,0.0007228
9,7473.67,0.08938,0.32,0.84264,0.91883,0.97583,0.98482,0.98482,0.14336,0.22734,0.44075,0.0006832,0.0006832,0.0006832
10,8299.23,0.08677,0.29919,0.84631,0.96719,0.97429,0.99046,0.99046,0.12695,0.23032,0.42441,0.0006436,0.0006436,0.0006436
11,9127.15,0.0798,0.28076,0.84354,0.95099,0.97202,0.99164,0.99044,0.14201,0.24772,0.44161,0.000604,0.000604,0.000604
12,9958.87,0.07724,0.26608,0.84185,0.97598,0.98458,0.99106,0.99106,0.14731,0.23579,0.45265,0.0005644,0.0005644,0.0005644
13,11104.4,0.07225,0.25071,0.84326,0.96034,0.98108,0.995,0.995,0.1088,0.17927,0.41249,0.0005248,0.0005248,0.0005248
14,11892.4,0.06909,0.22548,0.84123,0.98941,0.98204,0.99426,0.99426,0.10836,0.16945,0.41659,0.0004852,0.0004852,0.0004852
15,12679.5,0.06424,0.20568,0.84054,0.99109,0.99621,0.995,0.995,0.12206,0.18063,0.42988,0.0004456,0.0004456,0.0004456
16,13462.5,0.07278,0.16217,0.83393,0.98174,0.9779,0.99425,0.99376,0.13462,0.20886,0.43282,0.000406,0.000406,0.000406
17,14254.8,0.06689,0.13542,0.83188,0.98601,0.98592,0.995,0.9919,0.14709,0.21178,0.43535,0.0003664,0.0003664,0.0003664
18,15047.8,0.06189,0.11163,0.82971,0.9734,0.97612,0.9949,0.99216,0.13426,0.22972,0.42435,0.0003268,0.0003268,0.0003268
